"season","yr","weekday","holiday","temp","windspeed","weathersit","hr","hum","cnt"
1,0,6,0,0.24,0,1,0,0.81,16
1,0,6,0,0.22,0,1,1,0.8,40
1,0,6,0,0.22,0,1,2,0.8,32
1,0,6,0,0.24,0,1,3,0.75,13
1,0,6,0,0.24,0,1,4,0.75,1
1,0,6,0,0.24,0.0896,2,5,0.75,1
1,0,6,0,0.22,0,1,6,0.8,2
1,0,6,0,0.2,0,1,7,0.86,3
1,0,6,0,0.24,0,1,8,0.75,8
1,0,6,0,0.32,0,1,9,0.76,14
1,0,6,0,0.38,0.2537,1,10,0.76,36
1,0,6,0,0.36,0.2836,1,11,0.81,56
1,0,6,0,0.42,0.2836,1,12,0.77,84
1,0,6,0,0.46,0.2985,2,13,0.72,94
1,0,6,0,0.46,0.2836,2,14,0.72,106
1,0,6,0,0.44,0.2985,2,15,0.77,110
1,0,6,0,0.42,0.2985,2,16,0.82,93
1,0,6,0,0.44,0.2836,2,17,0.82,67
1,0,6,0,0.42,0.2537,3,18,0.88,35
1,0,6,0,0.42,0.2537,3,19,0.88,37
1,0,6,0,0.4,0.2537,2,20,0.87,36
1,0,6,0,0.4,0.194,2,21,0.87,34
1,0,6,0,0.4,0.2239,2,22,0.94,28
1,0,6,0,0.46,0.2985,2,23,0.88,39
1,0,0,0,0.46,0.2985,2,0,0.88,17
1,0,0,0,0.44,0.2537,2,1,0.94,17
1,0,0,0,0.42,0.2836,2,2,1,9
1,0,0,0,0.46,0.194,2,3,0.94,6
1,0,0,0,0.46,0.194,2,4,0.94,3
1,0,0,0,0.42,0.2985,3,6,0.77,2
1,0,0,0,0.4,0.194,2,7,0.76,1
1,0,0,0,0.4,0.2239,3,8,0.71,8
1,0,0,0,0.38,0.2239,2,9,0.76,20
1,0,0,0,0.36,0.2239,2,10,0.81,53
1,0,0,0,0.36,0.2537,2,11,0.71,70
1,0,0,0,0.36,0.2985,2,12,0.66,93
1,0,0,0,0.36,0.1343,2,13,0.66,75
1,0,0,0,0.36,0.194,3,14,0.76,59
1,0,0,0,0.34,0.1642,3,15,0.81,74
1,0,0,0,0.34,0.1642,3,16,0.71,76
1,0,0,0,0.34,0.194,1,17,0.57,65
1,0,0,0,0.36,0.3284,2,18,0.46,53
1,0,0,0,0.32,0.4478,1,19,0.42,30
1,0,0,0,0.3,0.3582,1,20,0.39,22
1,0,0,0,0.26,0.3284,1,21,0.44,31
1,0,0,0,0.24,0.2985,1,22,0.44,9
1,0,0,0,0.22,0.1642,1,23,0.47,8
1,0,1,0,0.22,0.3582,1,0,0.44,5
1,0,1,0,0.2,0.4179,1,1,0.44,2
1,0,1,0,0.16,0.3881,1,4,0.47,1
1,0,1,0,0.16,0.2836,1,5,0.47,3
1,0,1,0,0.14,0.3881,1,6,0.5,30
1,0,1,0,0.14,0.194,1,7,0.5,64
1,0,1,0,0.14,0.2836,1,8,0.5,154
1,0,1,0,0.16,0.3881,1,9,0.43,88
1,0,1,0,0.18,0.2537,1,10,0.43,44
1,0,1,0,0.2,0.3284,1,11,0.4,51
1,0,1,0,0.22,0.2985,1,12,0.35,61
1,0,1,0,0.24,0.2836,1,13,0.35,61
1,0,1,0,0.26,0.2836,1,14,0.3,77
1,0,1,0,0.26,0.2537,1,15,0.3,72
1,0,1,0,0.26,0.2537,1,16,0.3,76
1,0,1,0,0.24,0.2239,1,17,0.3,157
1,0,1,0,0.24,0.1045,1,18,0.32,157
1,0,1,0,0.2,0,1,19,0.47,110
1,0,1,0,0.2,0.1045,1,20,0.47,52
1,0,1,0,0.18,0.1343,1,21,0.64,52
1,0,1,0,0.14,0.1343,1,22,0.69,20
1,0,1,0,0.18,0.1045,1,23,0.55,12
1,0,2,0,0.16,0.1045,1,0,0.55,5
1,0,2,0,0.16,0.1045,1,1,0.59,2
1,0,2,0,0.14,0.1343,1,2,0.63,1
1,0,2,0,0.14,0.0896,1,4,0.63,2
1,0,2,0,0.12,0.1045,1,5,0.68,4
1,0,2,0,0.12,0.1045,1,6,0.74,36
1,0,2,0,0.12,0.1343,1,7,0.74,94
1,0,2,0,0.14,0.1642,1,8,0.69,179
1,0,2,0,0.16,0.2239,1,9,0.64,100
1,0,2,0,0.16,0.3284,2,10,0.69,42
1,0,2,0,0.22,0.2985,1,11,0.51,57
1,0,2,0,0.22,0.1642,1,12,0.51,78
1,0,2,0,0.24,0.194,1,13,0.56,97
1,0,2,0,0.26,0.2239,1,14,0.52,63
1,0,2,0,0.28,0.2537,1,15,0.52,65
1,0,2,0,0.3,0.2537,1,16,0.49,83
1,0,2,0,0.28,0.2239,1,17,0.48,212
1,0,2,0,0.26,0.194,1,18,0.48,182
1,0,2,0,0.24,0.1045,1,19,0.48,112
1,0,2,0,0.24,0.1045,1,20,0.48,54
1,0,2,0,0.22,0,1,21,0.64,48
1,0,2,0,0.22,0.0896,1,22,0.64,35
1,0,2,0,0.2,0.0896,1,23,0.69,11
1,0,3,0,0.2,0,1,0,0.64,6
1,0,3,0,0.16,0.0896,1,1,0.74,6
1,0,3,0,0.16,0.0896,1,2,0.74,2
1,0,3,0,0.24,0.2239,1,4,0.48,2
1,0,3,0,0.22,0.1642,1,5,0.47,3
1,0,3,0,0.2,0.2239,1,6,0.47,33
1,0,3,0,0.18,0.194,1,7,0.43,88
1,0,3,0,0.2,0.2985,1,8,0.4,195
1,0,3,0,0.22,0.3284,1,9,0.37,115
1,0,3,0,0.22,0.3284,1,10,0.37,57
1,0,3,0,0.26,0.3284,1,11,0.33,46
1,0,3,0,0.26,0.3284,1,12,0.33,79
1,0,3,0,0.28,0.2985,1,13,0.3,71
1,0,3,0,0.3,0.194,1,14,0.28,62
1,0,3,0,0.3,0.194,1,15,0.28,62
1,0,3,0,0.3,0.0896,1,16,0.28,89
1,0,3,0,0.24,0.194,1,17,0.38,190
1,0,3,0,0.24,0.1343,1,18,0.38,169
1,0,3,0,0.24,0.1045,1,19,0.38,132
1,0,3,0,0.22,0.1642,1,20,0.47,89
1,0,3,0,0.2,0.194,1,21,0.51,43
1,0,3,0,0.18,0.1343,1,22,0.55,42
1,0,3,0,0.2,0,1,23,0.47,19
1,0,4,0,0.18,0,1,0,0.55,11
1,0,4,0,0.16,0,1,1,0.64,4
1,0,4,0,0.16,0,1,2,0.64,2
1,0,4,0,0.16,0.0896,2,4,0.64,1
1,0,4,0,0.14,0.0896,2,5,0.69,4
1,0,4,0,0.14,0.1045,2,6,0.63,36
1,0,4,0,0.16,0,2,7,0.59,95
1,0,4,0,0.16,0,1,8,0.59,219
1,0,4,0,0.18,0,2,9,0.51,122
1,0,4,0,0.2,0,1,10,0.47,45
1,0,4,0,0.22,0.0896,1,11,0.44,59
1,0,4,0,0.26,0,1,12,0.35,84
1,0,4,0,0.26,0.1045,1,13,0.35,67
1,0,4,0,0.28,0.1642,1,14,0.36,70
1,0,4,0,0.28,0,1,15,0.36,62
1,0,4,0,0.26,0.1642,1,16,0.38,86
1,0,4,0,0.22,0.1642,1,17,0.51,172
1,0,4,0,0.22,0.1343,1,18,0.51,163
1,0,4,0,0.22,0.0896,1,19,0.55,112
1,0,4,0,0.2,0.1642,1,20,0.51,69
1,0,4,0,0.22,0.2239,2,21,0.55,48
1,0,4,0,0.22,0.2836,2,22,0.51,52
1,0,4,0,0.2,0.194,2,23,0.59,23
1,0,5,0,0.2,0.194,2,0,0.64,17
1,0,5,0,0.2,0.2239,2,1,0.69,7
1,0,5,0,0.2,0.2239,2,2,0.69,1
1,0,5,0,0.2,0.1343,2,4,0.69,1
1,0,5,0,0.22,0,3,5,0.55,5
1,0,5,0,0.2,0,2,6,0.69,34
1,0,5,0,0.2,0.1343,1,7,0.69,84
1,0,5,0,0.2,0.2537,1,8,0.51,210
1,0,5,0,0.2,0.2985,1,9,0.47,134
1,0,5,0,0.22,0.3284,1,10,0.37,63
1,0,5,0,0.2,0.2239,2,11,0.4,67
1,0,5,0,0.2,0.2537,2,12,0.37,59
1,0,5,0,0.2,0.2836,2,13,0.37,73
1,0,5,0,0.2,0.2537,2,14,0.4,50
1,0,5,0,0.2,0.1642,2,15,0.37,72
1,0,5,0,0.2,0.1642,2,16,0.37,87
1,0,5,0,0.2,0,2,17,0.37,187
1,0,5,0,0.2,0.0896,1,18,0.4,123
1,0,5,0,0.16,0.0896,1,19,0.55,95
1,0,5,0,0.18,0.1045,1,20,0.47,51
1,0,5,0,0.18,0.1343,1,21,0.47,39
1,0,5,0,0.18,0.1642,2,22,0.43,36
1,0,5,0,0.18,0.1642,2,23,0.51,15
1,0,6,0,0.18,0.1642,2,0,0.51,25
1,0,6,0,0.18,0.0896,2,1,0.55,16
1,0,6,0,0.18,0,2,2,0.55,16
1,0,6,0,0.18,0.1642,3,3,0.55,7
1,0,6,0,0.18,0.1642,3,4,0.55,1
1,0,6,0,0.16,0.1642,2,5,0.74,5
1,0,6,0,0.16,0.1642,2,6,0.74,2
1,0,6,0,0.16,0.1045,2,7,0.74,9
1,0,6,0,0.16,0.1045,3,8,0.93,15
1,0,6,0,0.16,0.1045,3,9,0.93,20
1,0,6,0,0.18,0.1642,2,10,0.8,61
1,0,6,0,0.2,0.3881,2,11,0.69,62
1,0,6,0,0.2,0.3582,2,12,0.59,98
1,0,6,0,0.2,0.3284,1,13,0.44,102
1,0,6,0,0.2,0.4925,1,14,0.32,95
1,0,6,0,0.2,0.4478,1,15,0.32,74
1,0,6,0,0.18,0.4478,1,16,0.29,76
1,0,6,0,0.16,0.5522,1,17,0.37,69
1,0,6,0,0.14,0.2985,1,18,0.39,55
1,0,6,0,0.14,0.2537,1,19,0.36,30
1,0,6,0,0.12,0.2537,1,20,0.36,28
1,0,6,0,0.12,0.3582,1,21,0.39,37
1,0,6,0,0.12,0.3881,1,22,0.36,34
1,0,6,0,0.1,0.4478,1,23,0.39,22
1,0,0,0,0.1,0.3881,1,0,0.42,25
1,0,0,0,0.1,0.4627,1,1,0.42,12
1,0,0,0,0.1,0.4627,1,2,0.46,11
1,0,0,0,0.1,0.4179,1,3,0.46,4
1,0,0,0,0.08,0.194,1,4,0.53,1
1,0,0,0,0.08,0.194,1,5,0.53,1
1,0,0,0,0.1,0.2836,1,6,0.49,1
1,0,0,0,0.08,0.194,1,7,0.53,6
1,0,0,0,0.1,0.2836,1,8,0.49,10
1,0,0,0,0.12,0.5224,1,9,0.46,19
1,0,0,0,0.14,0.3881,1,10,0.43,49
1,0,0,0,0.16,0.5224,1,11,0.4,49
1,0,0,0,0.18,0.4478,1,12,0.37,83
1,0,0,0,0.2,0.4478,1,13,0.34,75
1,0,0,0,0.22,0.4627,1,14,0.32,72
1,0,0,0,0.22,0.3582,1,15,0.35,82
